entity,x,y
http://www.wikidata.org/entity/Q1700129,18.895617,67.50446
http://www.wikidata.org/entity/Q1359602,-101.0401,-16.71399
http://www.wikidata.org/entity/Q753467,-39.37238,-135.8933
http://www.wikidata.org/entity/Q3291594,-100.72284,73.280106
http://www.wikidata.org/entity/Q3199549,-156.8008,-81.773705
http://www.wikidata.org/entity/Q3138832,-175.4625,-19.252447
http://www.wikidata.org/entity/Q3507888,169.96405,65.76893
http://www.wikidata.org/entity/Q18869,-43.81023,8.514231
http://www.wikidata.org/entity/Q12022782,167.35188,-22.821877
http://www.wikidata.org/entity/Q43512,36.64233,-2.5356426
http://www.wikidata.org/entity/Q1054799,1.2098577,61.199375
http://www.wikidata.org/entity/Q7482607,-29.446846,4.577581
http://www.wikidata.org/entity/Q110612950,-66.09237,-44.81608
http://www.wikidata.org/entity/Q2402452,5.15381,0.9789224
http://www.wikidata.org/entity/Q494915,-24.560474,39.894077
http://www.wikidata.org/entity/Q6995832,-11.80361,-4.3703876
http://www.wikidata.org/entity/Q856275,-56.871914,-51.40982
http://www.wikidata.org/entity/Q1006465,77.32477,69.95792
http://www.wikidata.org/entity/Q21890573,35.18939,70.170906
http://www.wikidata.org/entity/Q533860,-135.18224,-37.934486
http://www.wikidata.org/entity/Q11884845,169.96405,65.76893
http://www.wikidata.org/entity/Q56928,-7.110191,-189.90599
